Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
12/4/2010,Mildura,18.8,33.7,0,8,13.5,SSE,52,N,ENE,19,9,63,32,1009.2,1007.3,4,5,25.8,32.4,No,49.2,Yes
10/15/2011,MountGinini,4.3,14.3,0,NA,NA,W,57,NW,W,9,17,84,81,NA,NA,NA,NA,10,12.1,No,0,No
8/3/2011,Walpole,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/22/2010,Sale,4,16,0,2,6.9,WNW,46,W,W,17,31,69,50,1026.9,1024.1,4,4,13.1,15.2,No,0,No
11/30/2010,PerthAirport,14.3,38.2,0,12,13,WSW,48,NNE,WSW,28,28,11,17,1009.8,1006.5,2,1,32.3,31.8,No,0,No
11/18/2011,Nuriootpa,16.3,37.2,0,9.6,9.6,WNW,56,NNW,WNW,22,30,23,14,1011.7,1008.1,6,7,30.5,36,No,1,No
4/23/2010,PearceRAAF,8.1,22.4,0,NA,9.5,SSW,33,N,SW,7,17,89,39,1022.6,1019.7,3,NA,12,21.7,No,0,No
6/25/2011,MountGinini,0.1,6.6,0,NA,NA,WNW,35,NE,WNW,9,11,79,78,NA,NA,NA,NA,2.9,4.6,No,0,No
4/25/2010,Adelaide,12.5,20,4.2,NA,9.9,SW,33,S,WSW,9,15,76,52,1021.8,1022.3,NA,NA,16.2,19.7,Yes,0,No
6/26/2009,Albury,6.9,13.7,4.4,NA,NA,SE,46,ESE,ESE,7,9,99,73,1011.6,1008.1,7,NA,8.4,13,Yes,0,No
6/15/2010,PerthAirport,14.2,16.4,11.6,0.6,0,S,72,NE,S,11,35,94,93,1011.3,1009.6,8,8,14.4,13,Yes,5.8,Yes
12/22/2009,Albury,15.1,36.6,0,NA,NA,WSW,39,ENE,SW,11,19,44,10,1010.9,1007.3,NA,NA,23.1,35.9,No,0,No
10/14/2011,Richmond,13.9,18,0,NA,NA,SSW,15,WSW,WSW,4,11,88,85,1021,1017.3,NA,NA,14.6,16.6,No,0,No
9/7/2011,Walpole,11,14.9,0.2,NA,NA,SE,39,SSE,SE,20,17,68,68,1036.8,1035.7,NA,NA,12.5,14.3,No,0,No
5/23/2009,Cairns,12.8,26.4,0,5.8,10.7,NNE,20,ESE,N,4,11,61,48,1013.1,1009.2,1,1,21.1,25.5,No,0,No
2/27/2010,MountGinini,9.1,NA,0,NA,NA,NA,NA,W,WSW,24,22,89,65,NA,NA,NA,NA,12,17.7,No,NA,NA
2/4/2009,Sale,17.8,25.1,0,1.8,1.6,E,39,ESE,ESE,26,24,93,69,1011.3,1009,8,7,19.6,24.1,No,0,No
5/25/2011,BadgerysCreek,9.5,16.7,1.2,NA,NA,S,50,SW,SSW,20,20,58,52,1011.9,1011.7,NA,NA,13.3,15.5,Yes,0,No
8/27/2011,AliceSprings,4.1,26.1,0,5.2,11.1,E,31,W,S,6,13,26,11,1023.4,1019.5,0,0,16.4,25.5,No,0,No
8/5/2011,Bendigo,7.9,15.5,0,NA,NA,WSW,35,WNW,WNW,11,9,57,60,1019.2,1018.7,7,8,11.6,12.2,No,2.4,Yes
4/6/2009,AliceSprings,10.7,25.2,0,10.4,10.6,ESE,50,SE,SE,30,28,36,14,1021,1017.1,5,6,17.9,24.6,No,0,No
12/9/2011,SalmonGums,14.6,21,2,NA,NA,E,24,E,ESE,15,9,75,56,NA,NA,NA,NA,18.1,20.4,Yes,1.4,Yes
5/12/2010,GoldCoast,15.8,27.9,0,NA,NA,SSE,43,W,SE,13,31,54,59,1014.7,1012.5,NA,NA,23.3,23.5,No,0,No
3/9/2011,AliceSprings,21.5,25.4,28,7,0,ESE,44,S,S,17,20,95,95,1008.9,1007,7,8,21.8,22.5,Yes,4.2,Yes
5/24/2010,Cairns,22.1,28.8,0,4,6.6,NA,NA,SSE,ENE,15,17,70,64,1015.4,1012.3,3,6,26,27.4,No,0,No
8/29/2009,Canberra,6.9,17.5,1.6,3.6,NA,NA,NA,NA,NA,NA,NA,92,76,NA,NA,NA,NA,9.1,16.2,Yes,6.2,Yes
8/30/2011,Canberra,3.7,16.2,0,3.4,7,NNW,37,E,NW,2,19,78,37,1024.3,1021.6,7,NA,8.6,14.8,No,0,No
10/15/2009,Ballarat,6.9,10.7,4,NA,NA,W,59,W,SW,33,26,97,77,1006.3,1008.8,7,8,7.3,8.1,Yes,2.8,Yes
6/17/2009,Witchcliffe,11,19.1,NA,NA,NA,WNW,63,NNW,NNW,15,30,74,64,1016.5,1012.2,NA,NA,15.5,17.8,NA,NA,NA
8/12/2011,BadgerysCreek,5.8,17.7,2.4,NA,NA,SW,35,SW,SSE,17,11,86,52,1018.8,1018.4,NA,NA,13.4,17.4,Yes,0.2,No
5/13/2010,Woomera,5.5,18.7,0,5,10.6,NE,33,NE,N,9,13,49,27,1025.4,1020.6,0,1,11.2,17.8,No,0,No
2/18/2009,Adelaide,22.2,35.4,0,9.4,12.5,ESE,31,NNE,W,9,17,25,17,1010.6,1007.6,NA,NA,28,34.3,No,0,No
6/10/2009,Penrith,8.5,14.3,0,NA,NA,WSW,46,W,WSW,28,22,42,38,NA,NA,NA,NA,10.6,12.8,No,0,No
6/24/2009,WaggaWagga,8,15.6,5.6,1.6,5.4,NW,57,E,W,11,13,78,64,1014.9,1012.2,7,3,10.1,15.6,Yes,0,No
11/28/2010,Mildura,12.8,19.3,13.2,1.8,3.6,SSW,46,S,SSW,24,26,72,55,1015.1,1014.9,7,7,14.1,17.6,Yes,0,No
11/19/2008,Adelaide,16.8,25.1,0,5.2,1.1,NA,NA,WNW,SW,2,15,47,49,1007.6,1006.1,NA,NA,18.8,21,No,0.6,No
5/10/2009,Darwin,22.8,33.4,0,6.8,7.6,ESE,46,SSE,ENE,15,22,65,40,1011,1008.4,1,3,27.1,32.8,No,0,No
12/24/2011,Woomera,24.4,43.6,0,32.2,NA,SSW,52,NNE,WSW,28,11,13,9,1009.1,1005.8,0,NA,33.8,41,No,0,No
5/30/2009,Dartmoor,1.6,14.3,0.2,1.4,9.1,E,37,NA,E,0,13,98,76,1032.6,1030.9,NA,NA,5.7,14.1,No,0,No
4/21/2009,Perth,13.4,30.1,0,4,10.5,SSW,31,SE,W,4,15,53,34,1009.4,1005.7,1,1,21.9,28.4,No,0,No
1/24/2009,Richmond,23,41,0,NA,NA,SE,69,NW,WNW,20,35,51,23,1004.8,1002.6,NA,NA,32.6,40.5,No,0,No
12/10/2010,WaggaWagga,16.9,24.3,3.6,4.4,12,WNW,46,WSW,W,17,26,58,27,1010.9,1008.5,3,1,19.4,23.5,Yes,0,No
9/11/2009,PerthAirport,13.4,19.8,14.8,2,5.1,NW,81,NW,WNW,37,35,62,91,1006.4,1006.4,4,8,17.5,15,Yes,12.8,Yes
6/28/2011,Adelaide,6.7,17.1,0,1.2,9.2,NNE,33,NE,NE,11,13,58,41,1032.5,1029.2,NA,NA,12.4,16.5,No,0,No
7/5/2009,SydneyAirport,9.8,15.8,0,3,9.8,W,41,W,S,20,19,50,40,1016.3,1016.1,2,1,13.5,15.5,No,0,No
2/10/2009,Cobar,19.3,28.1,0,16,7.4,SSW,46,S,SSW,19,24,26,14,1010.2,1008.8,7,4,19.6,24.9,No,0,No
1/30/2011,NorahHead,18.1,28.5,0,NA,NA,NE,43,NNE,NE,20,31,68,66,1020.1,1017.1,NA,NA,23.9,26.6,No,0,No
1/9/2009,Sydney,17.2,22.6,0.4,7.6,5.9,NA,NA,SSE,ESE,22,19,54,47,1020.2,1018.8,7,6,19.2,21.2,No,0,No
11/3/2008,Melbourne,14.6,18.3,2.8,6.6,0.2,N,56,SW,SSW,31,31,72,73,1014.2,1015.7,8,7,15.7,16.4,Yes,2,Yes
3/16/2010,Richmond,13.3,27.8,0,4.2,NA,ENE,30,NE,SE,2,13,92,38,1024,1022.1,NA,NA,17.4,27.5,No,0,No
1/29/2009,Nuriootpa,26.9,42.5,0,15.2,10.9,NW,48,NNW,N,15,15,17,9,1010.7,1008.5,3,3,34.9,41.4,No,0,No
1/19/2010,Albury,8.7,25.2,0,NA,NA,W,50,W,WSW,6,30,47,27,1011.5,1009.7,NA,NA,15,23.8,No,0,No
7/13/2009,MountGinini,-1.5,-0.6,1,NA,NA,W,67,W,W,30,26,94,95,NA,NA,NA,NA,-1.1,-1,No,12.6,Yes
11/17/2010,Mildura,9.6,25.8,0,4.6,12.1,SSW,33,SSE,W,11,13,62,30,1018.6,1016,0,2,15.2,24.1,No,0,No
2/21/2009,Albury,13.7,31.7,0,NA,NA,SSE,28,SSE,S,2,9,63,19,1012.5,1010.4,NA,NA,19.3,29.8,No,0,No
8/24/2011,Dartmoor,9.2,20.6,0,3.8,10,NNW,41,N,NNW,15,20,72,48,1026.4,1022.1,NA,NA,12.2,20.4,No,0,No
8/3/2010,NorfolkIsland,15.8,20.8,7,2.4,0.8,N,50,N,N,15,26,90,74,1014.4,1010.9,8,8,17.3,19.9,Yes,21,Yes
3/28/2010,Tuggeranong,12.3,28.5,0,NA,NA,N,22,NA,NNW,0,11,86,45,1019,1014.2,NA,NA,15.9,27.2,No,5.8,Yes
2/10/2011,GoldCoast,20.5,28.8,2,NA,NA,SSE,48,S,SE,33,30,74,61,1020.6,1018.4,NA,NA,24.5,27.2,Yes,1.8,Yes
2/11/2011,Albany,17,20.4,0.6,4,3.8,NA,NA,NA,NA,22,22,89,71,1023.8,1023.2,7,7,18.1,19.6,No,3.6,Yes
1/18/2012,Watsonia,22,26,0.8,15.8,10.6,NNW,43,WSW,SSW,13,17,61,57,1014.1,1015.2,6,5,23.3,25,No,0.2,No
8/5/2011,Sydney,11.3,25.2,0,5.4,10.1,NNW,33,W,NNW,6,20,66,30,1025.4,1021.8,NA,NA,13.9,24.7,No,0,No
11/19/2009,Moree,22.7,40.4,0,16.4,12.8,NE,44,NE,E,28,11,52,17,1011.8,1007.7,0,1,27.4,37.9,No,0,No
4/3/2009,Moree,19.2,31.7,0.4,5.4,9.4,E,35,ESE,NE,19,13,59,36,1018.2,1014.1,4,6,24,31.5,No,0,No
9/24/2009,Wollongong,14.4,22.4,0,NA,NA,SW,57,SW,SW,19,26,39,29,1011.6,1010.5,NA,NA,18.2,20.9,No,0,No
2/26/2011,Townsville,23.6,30.6,11.6,1.6,7.8,E,44,SE,E,13,28,81,60,1010.3,1007.6,7,7,26.7,29.3,Yes,0,No
12/13/2008,Albury,15.9,18.6,15.6,NA,NA,W,61,NNW,NNW,28,28,76,93,994.3,993,8,8,17.4,15.8,Yes,3.6,Yes
11/19/2011,Richmond,17.6,35.1,0,NA,NA,NNE,33,NA,NNE,0,19,93,37,1015.6,1009.5,NA,NA,19.8,33.5,No,0,No
11/7/2011,Hobart,11.9,19.8,0,7.4,7.7,NNW,50,NE,ESE,9,20,53,51,1010.5,1010.4,NA,NA,16,19.2,No,1.2,Yes
9/14/2010,Hobart,3.5,14.8,0.8,2,10.3,NNW,46,NNW,NNW,24,19,58,39,1014,1008.5,2,3,8.7,14.4,No,0,No
3/1/2011,Nuriootpa,12.6,20,0,6.4,8.9,SSE,43,SSW,S,11,22,69,49,1015.9,1016.5,7,6,15.2,18.6,No,0,No
7/26/2009,Canberra,-1,11,0,1.6,1.2,NNW,43,SSE,NNW,6,20,86,79,1018.5,1014.2,7,8,4.8,8.9,No,6.2,Yes
12/12/2010,Mildura,13.2,23.8,0,5.8,13.3,SSW,43,WSW,WSW,17,20,55,33,1009.5,1009.2,6,6,17,21.7,No,0,No
7/31/2009,Woomera,9.2,17,0.2,2.4,4.8,NA,NA,SW,SSW,11,7,94,47,1029.2,1026.9,5,7,10.3,15.6,No,0,No
5/9/2010,Cairns,21.3,28.5,0.4,5.4,6,NA,NA,SSE,SE,19,24,73,71,1013,1010.4,6,6,24.5,25.2,No,0.4,No
6/15/2011,Cairns,12.5,25,0,6.4,10.7,SSE,31,S,E,15,17,46,44,1018.2,1014.1,3,4,20.1,23.9,No,0,No
2/12/2009,Sydney,17.5,22,0.6,4,1.1,NA,NA,SSW,SSE,19,31,76,56,1017.5,1018.7,7,8,18.9,21.4,No,23.2,Yes
1/12/2009,Sydney,18.7,26.8,1.2,8.8,11.4,NA,NA,E,ESE,7,15,71,61,1015.4,1016.4,1,6,23.2,25.6,Yes,0.2,No
7/11/2011,MountGinini,-6.5,-2,4.6,NA,NA,WSW,57,SSW,NA,26,NA,95,NA,NA,NA,NA,NA,-5.3,NA,Yes,0,No
1/6/2010,Launceston,11,24.9,0,NA,NA,W,43,W,W,15,13,48,26,1014.4,1012.6,NA,NA,17.2,23.3,No,0,No
10/30/2009,AliceSprings,16.3,36.2,0,10,12.5,SE,39,ENE,ESE,15,13,19,10,1014.7,1011.2,0,0,29.1,34.8,No,0,No
1/20/2012,Nuriootpa,16.5,30.4,0,10.4,6.9,SE,37,ESE,E,15,11,57,30,1015.3,1013.3,7,3,19.7,29.1,No,0,No
1/6/2011,Nuriootpa,14.6,34.7,0,6.6,10.1,WNW,43,NE,NW,17,17,42,14,1008.5,1004.2,6,6,21.6,34.1,No,0,No
11/30/2010,Portland,12.2,17.5,0,3.6,3.1,ESE,56,ESE,ESE,31,30,69,72,1019.7,1018.1,7,7,14.5,16.4,No,0,No
3/30/2009,Albury,13.4,30.4,0,NA,NA,ENE,22,NA,SE,0,9,57,16,1023,1019.5,NA,NA,17.2,29.2,No,0,No
1/11/2012,Brisbane,23,37,0,7.6,11.9,W,33,WSW,WSW,9,11,37,16,1007.3,1003.1,7,5,31.5,36.3,No,0,No
11/3/2010,PerthAirport,15.3,37.3,0,10.2,12.2,NW,43,NE,WSW,28,24,11,7,1016.5,1012,1,1,30.3,36.3,No,0,No
8/22/2010,Woomera,7.1,11.6,0.4,4.2,9.5,NE,44,N,NE,7,24,80,94,1019.1,1014.2,8,8,8.7,10.1,No,8.8,Yes
7/14/2011,Sale,4.4,13.3,1.8,1.2,6.8,SW,31,W,WSW,19,13,88,48,1028.3,1030.1,3,4,7.4,13,Yes,0,No
11/28/2010,Portland,10.6,15,11,3.6,6.6,S,46,S,S,22,24,54,67,1018.6,1019.6,7,8,11.7,13.4,Yes,0.4,No
2/19/2011,Portland,15.7,19.7,38.4,3,3.6,NW,70,W,W,41,31,NA,78,999.3,1006.6,8,5,NA,19.5,Yes,2.2,Yes
2/11/2009,Albury,13.5,26.7,0,NA,NA,SSE,46,SSE,E,19,11,45,24,1012.8,1011.1,NA,NA,16.7,24.9,No,0,No
9/19/2009,Tuggeranong,9,19.9,0,NA,NA,NW,43,NNE,NNW,7,22,85,36,1018.5,1013.5,NA,NA,10.7,19.1,No,0,No
4/23/2009,Cairns,19.2,30.2,0,7.4,11.3,SE,44,SSE,SE,22,24,57,51,1013.9,1011,1,2,25.9,29.1,No,0,No
9/9/2009,PerthAirport,10.9,19.8,1.6,3.2,6.2,NW,39,N,WNW,9,20,94,70,1015.5,1012.9,8,6,14,17.2,Yes,0.4,No
11/13/2009,Tuggeranong,14,27.6,0.6,NA,NA,S,41,S,NNW,19,7,57,35,1019.9,1016.1,NA,NA,18.4,25.7,No,0,No
7/18/2011,Ballarat,4.5,9.9,0.8,NA,NA,W,30,W,S,15,4,98,95,1018.3,1017.5,8,4,4.8,8.7,No,2,Yes
4/29/2010,Dartmoor,10.6,15.6,5.8,1.2,4.1,WSW,39,W,WSW,11,19,94,79,1022.3,1023.1,NA,NA,12.7,14.3,Yes,0.2,No
2/25/2009,Brisbane,20.4,27.9,0,7,1.5,NE,22,W,ENE,6,11,70,64,1016.8,1014,7,7,25.3,26.7,No,0,No
1/10/2009,Nuriootpa,12,29.4,0,7.6,13.1,SSE,41,ESE,NNE,13,9,43,15,1012.1,1008.9,1,NA,18.4,27.8,No,0,No
3/15/2009,Ballarat,7.6,15.6,16.4,NA,NA,W,56,WNW,WNW,26,28,87,57,1011.4,1010.4,3,1,9.4,14.3,Yes,1,No
9/11/2009,Hobart,3.7,17.2,0,3,6.1,NNW,57,NNW,N,19,26,75,41,1014.2,1006.7,1,7,7.5,16.2,No,3.2,Yes
10/7/2009,AliceSprings,8,28.5,0,9,11.9,E,54,E,ESE,13,20,11,6,1019.6,1016.2,3,0,21.9,27.5,No,0,No
7/16/2011,Sydney,7.5,16.3,9,1.4,4.4,ENE,26,W,E,13,17,94,62,1031.7,1027.7,NA,NA,10.4,14.8,Yes,2.2,Yes
9/17/2009,Nuriootpa,12.5,15.7,7.8,2.2,6,W,48,WSW,WSW,24,28,96,63,1014.8,1017.9,8,6,13,15.1,Yes,0,No
12/9/2010,Walpole,13,17.9,2.8,NA,NA,S,31,S,S,11,15,63,52,1024.8,1024.9,NA,NA,15.1,17.3,Yes,0,No
2/15/2011,Brisbane,21.4,29.7,0,8.6,NA,ESE,37,SE,E,7,2,67,76,1017.6,1015.7,6,7,27.6,26.9,No,21,Yes
12/28/2008,GoldCoast,21.3,28.9,20,NA,NA,NNE,50,NW,NNE,17,28,84,66,1009.2,1005.9,NA,NA,23.3,27.4,Yes,22.8,Yes
3/18/2009,Launceston,8.6,22.2,0,4,NA,NW,39,NNE,NW,2,11,90,55,1014.6,1011.9,NA,NA,11.3,21,No,0,No
4/3/2009,Perth,13.5,28.3,0,5.6,10.8,E,35,E,ENE,13,9,58,29,1027.8,1024.3,1,0,17.8,28.1,No,0,No
3/21/2011,Dartmoor,15.3,19.8,9.4,2.6,0,WNW,31,SE,SE,9,17,99,97,1005.8,1004.5,NA,NA,17.6,19.6,Yes,8,Yes
8/25/2011,PearceRAAF,4.6,17.7,0,NA,10.4,NA,NA,E,SSW,15,9,66,46,1029.2,1025.7,3,3,12.3,17.3,No,0,No
3/16/2010,Newcastle,15,26.2,0,NA,NA,NA,NA,NA,SE,0,4,86,48,NA,NA,2,2,20,24.8,No,0,No
5/15/2009,Albany,7.5,19,0,1.8,9.3,NA,NA,NA,ESE,0,9,87,62,1024.7,1021.2,1,1,11,18.5,No,0,No
12/5/2010,Cairns,23.6,32.2,0,6.2,11,SSE,22,ENE,NE,7,17,69,67,1007.8,1003.9,1,1,29.6,30.9,No,0,No
3/15/2009,NorfolkIsland,19.3,24.5,0,3.6,9.5,E,37,ESE,ESE,19,22,73,59,1016.9,1015,5,1,21.2,23.4,No,0,No
7/21/2011,CoffsHarbour,14.3,20.5,0,4.4,9.8,SSW,57,SW,SW,30,28,47,40,1010.3,1007.7,1,2,17.2,19.7,No,0.4,No
1/17/2010,MelbourneAirport,10.5,20.9,0,11.4,9.3,WSW,69,W,WSW,24,39,52,29,1009.8,1008.9,3,7,16.3,18.8,No,0.8,No
7/31/2011,Albany,10.5,17.4,3,3,4.8,NA,NA,WNW,NW,13,15,83,73,999.5,1002.3,7,7,13,12.9,Yes,6.4,Yes
12/25/2010,Nuriootpa,14.2,30.3,0,7.8,6.1,SSW,30,ESE,SSW,9,11,46,22,1013,1009.6,7,5,20.6,30.2,No,0,No
12/11/2010,PearceRAAF,11.2,32.8,0,NA,12.2,E,50,ENE,SSE,19,11,38,14,1015.7,1009.8,NA,NA,22.7,32.3,No,0,No
3/29/2009,Penrith,12.8,27.2,0,NA,NA,E,28,NA,NE,0,11,79,39,NA,NA,NA,NA,17,26.5,No,0,No
3/25/2010,Launceston,10,24.1,0,NA,NA,NNW,50,WNW,NW,6,24,98,56,1017.1,1014,NA,NA,12.4,23,No,0,No
2/4/2011,Williamtown,22.5,33.7,0,12,10.8,ENE,37,SSE,E,6,24,74,59,1015.2,1011.9,4,2,27,31.5,No,0,No
4/16/2009,NorfolkIsland,20.2,23.7,0,5.4,1.7,NE,54,NE,NE,31,33,65,78,1014.6,1011.1,8,8,21.9,22,No,5.8,Yes
1/6/2012,MountGambier,5.3,26,0,6.2,10.1,SSW,37,E,ENE,13,19,54,23,1019.5,1013.3,2,7,17,24.1,No,0.4,No
3/23/2008,Canberra,12.8,24.9,0,2.4,6.2,ENE,30,NNW,SW,6,7,76,44,1023.2,1019.3,7,6,15.5,24.2,No,0.6,No
6/25/2011,Albany,10.5,17.6,18.6,4.2,7.8,NA,NA,NW,WNW,7,2,82,68,1012.3,1015,2,2,12,16.2,Yes,0,No
2/4/2009,Ballarat,14.6,34.7,0,NA,NA,SE,39,SE,NW,13,13,70,11,1008.4,1005.6,2,NA,19,33,No,0,No
2/21/2009,Adelaide,16.8,26.4,0,NA,12,SSE,41,ESE,SSE,13,19,55,37,1020.6,1017.6,NA,NA,19.1,25.3,No,0,No
12/18/2010,Albany,14.2,18.3,0,6.2,9.4,NA,NA,SSE,SSE,13,19,64,64,1017.5,1015.9,7,6,16,17.6,No,1,No
11/14/2011,Penrith,16.6,38.7,0,NA,NA,W,59,SE,NW,2,22,97,23,NA,NA,NA,NA,19.6,36.3,No,0,No
2/6/2010,BadgerysCreek,19.5,25.2,21.8,NA,NA,SSE,46,SSW,NA,15,NA,85,NA,1016.8,NA,NA,NA,21.2,NA,Yes,25.6,Yes
5/13/2010,NorahHead,8.8,19.4,0,NA,NA,S,31,W,S,11,20,46,50,1018.7,1015.7,NA,NA,14.4,19.2,No,0,No
5/11/2009,Adelaide,7.2,19.8,0,5.4,9.8,SSE,24,NA,SSE,0,11,68,45,1025.1,1022.8,NA,NA,13.8,19.1,No,0,No
12/9/2011,Hobart,14.6,26.9,0,9.2,6.1,S,35,NNW,ESE,20,11,66,64,1012.3,1010.3,NA,NA,18.3,22.3,No,9.4,Yes
12/15/2009,Watsonia,9.7,31.6,0,6,12.9,SSW,20,S,SSW,4,15,76,29,1020.8,1016.5,2,0,16.6,29.4,No,0,No
10/30/2010,Brisbane,16.6,26.5,0,4.6,11.7,ENE,26,ENE,ENE,9,9,56,56,1019,1016,3,6,23.9,24.2,No,0,No
2/5/2010,Richmond,21.7,29.3,26.4,2.2,NA,E,33,NA,NE,0,19,87,72,1010.3,1008.2,NA,NA,24.6,27.7,Yes,17.2,Yes
10/3/2010,Portland,4.3,23.2,0.2,3.2,10.4,NNE,41,NNE,N,15,22,90,43,1024.8,1021.1,0,1,11.4,22.6,No,0.4,No
8/2/2010,Penrith,6.9,15.7,0.2,NA,NA,WSW,63,NNE,WSW,11,20,47,41,NA,NA,NA,NA,11.8,15.2,No,6,Yes
5/6/2011,Sale,9.3,14.7,0,1.6,4.1,W,19,NNW,SSW,13,7,71,55,1025.6,1022.4,7,6,11,14.6,No,0,No
6/13/2011,Wollongong,11.7,16.1,3,NA,NA,SE,63,SSE,SSE,33,33,89,73,NA,1022.8,8,4,14.4,15.9,Yes,17.4,Yes
7/19/2010,Newcastle,6.3,17.8,0.1,NA,NA,NA,NA,NW,NA,2,0,90,61,NA,NA,6,7,9.8,16.4,No,0.1,No
8/10/2011,Penrith,1.6,18.3,0,NA,NA,WNW,35,NNE,WSW,2,22,88,35,NA,NA,NA,NA,7.8,16.1,No,0,No
5/20/2010,Nuriootpa,8,17.5,0,1.2,0,SE,13,E,SW,4,7,62,39,1022.7,1020.5,7,6,12.7,17.1,No,0,No
9/1/2011,Ballarat,3.8,14.8,0,NA,NA,SE,30,SSE,SE,17,19,99,64,1027.1,1024.5,6,NA,8.1,14.1,No,0.2,No
12/24/2011,Ballarat,12.8,31.1,0,NA,NA,SE,39,NNE,SSE,20,26,50,50,1011,1009.1,2,NA,24.5,27.8,No,3.8,Yes
