Status,Credit.Grade,Amount,Age,Borrower.Rate,Debt.To.Income.Ratio
Current,HR,1750,1,0.25,0.02
Current,HR,1200,6,0.0875,0
Current,B,5000,11,0.09,0.037
Current,HR,1000,4,0.2,0.01
Current,E,1500,8,0.2,0.02
Current,HR,1200,1,0.185,0.01
Current,HR,1500,6,0.2875,0.02
Current,HR,1000,1,0.24,0.01
Current,C,7500,2,0.15,0.04
Current,HR,2300,2,0.18,0.02
Current,C,1800,8,0.1425,0.025
Current,B,2000,8,0.1175,0.029
Current,HR,3000,5,0.29,0.03
Current,AA,1000,7,0.0655,0.02
Current,D,1000,1,0.1665,0.03
Current,HR,1000,2,0.24,0.03
Current,D,4500,6,0.24,0.03
Current,E,1000,1,0.2399,0.02
Current,HR,1000,5,0.17,0.03
Current,AA,1000,9,0.0715,0.006
Late,HR,2800,6,0.25,0.03
Current,HR,1500,2,0.23,0.02
Current,C,3000,9,0.14,0.017
Current,HR,1000,3,0.15,0.02
Current,B,5000,3,0.118,0.04
Current,AA,10000,8,0.09,0.032
Current,HR,1000,7,0.28,0.01
Current,AA,2525,1,0.0775,0.04
Current,AA,1000,1,0.0625,0.02
Current,AA,5800,1,0.0788,0.04
Current,E,3500,1,0.29,0.02
Current,HR,1000,5,0.29,0.02
Current,C,3000,4,0.13,0.02
Current,AA,1000,2,0.07,0.04
Current,AA,2501,11,0.0575,0.021
Current,HR,3500,2,0.17,0.03
Default,HR,1300,7,0.2475,0.03
Current,HR,1500,1,0.29,0.03
Current,HR,1000,5,0.17,0.03
Current,D,3000,9,0.2,0.03
Current,HR,1100,8,0.2375,0.036
Current,HR,1500,5,0.15,0.01
Late,HR,1025,10,0.245,0.028
Current,C,2100,8,0.185,0.036
Current,HR,1200,7,0.2475,0.01
Current,D,1200,4,0.135,0.02
Current,HR,1000,2,0.05,0.01
Current,HR,1000,8,0.2375,0.019
Current,HR,2000,6,0.2475,0.03
Current,HR,1000,1,0.16,0.02
Current,C,5000,2,0.15,0.04
Current,AA,5000,1,0.09,0.02
Current,HR,1200,4,0.17,0.03
Current,C,3000,8,0.1575,0.02
Current,B,1000,1,0.09,0.02
Current,C,3001,2,0.12,0.04
Current,HR,1000,1,0.2,0.02
Current,NC,1500,8,0.1575,0.01
Current,AA,3000,5,0.08,0.04
Current,C,2000,8,0.2,0.028
Current,AA,2500,6,0.08,0.04
Current,HR,1000,3,0.29,0.03
Current,HR,1800,1,0.214,0.02
Current,HR,2550,1,0.29,0.02
Current,HR,1000,3,0.11,0.03
Current,HR,1525,1,0.2195,0.02
Current,AA,5000,5,0.075,0.03
Current,D,3500,11,0.12,0.031
Current,HR,1000,11,0.15,0.028
Current,HR,1200,2,0.29,0.02
Current,HR,1000,10,0.01,0.007
Current,AA,5000,5,0.0815,0.02
Current,HR,1300,2,0.11,0.01
Current,AA,3000,8,0.08,0.022
Current,AA,5000,5,0.0884,0.04
Current,AA,4000,9,0.083,0.015
Default,HR,1800,8,0.2875,0.03
Current,D,1500,6,0.17,0.03
Default,HR,3000,10,0.4975,0.039
Current,HR,2000,1,0.29,0.03
Current,HR,1000,2,0.2,0.02
Current,HR,2000,3,0.29,0.03
Current,HR,2550,1,0.24,0.03
Late,NC,1000,5,0.23,0.03
Current,D,2500,2,0.2,0.03
Current,AA,3000,5,0.0912,0.04
Current,AA,6001,10,0.07,0.037
Current,HR,1400,7,0.2475,0.01
Current,NC,1000,2,0.17,0.02
Current,HR,2000,4,0.25,0.03
Current,AA,1000,7,0.072,0.01
Current,HR,2000,7,0.2475,0.03
Current,HR,1000,1,0.0925,0.03
Current,HR,2000,7,0.2,0.03
Current,AA,3001,7,0.08,0.04
Current,NC,1250,6,0.25,0.02
Current,HR,1000,5,0.21,0.02
Current,HR,2600,1,0.0875,0.02
Current,A,2550,6,0.09,0.03
Current,E,1000,2,0.0925,0.01
Current,AA,1000,1,0.07,0.04
Current,A,2500,6,0.09,0.02
Current,AA,2550,5,0.0875,0.02
Current,AA,2000,1,0.08,0.04
Current,HR,1000,6,0.2875,0.02
Current,E,1000,4,0.25,0.02
Current,HR,1000,9,0.2375,0.007
Current,NC,1000,8,0.2075,0.02
Current,A,25000,8,0.15,0.04
Current,HR,1500,1,0.29,0.03
Current,D,1500,2,0.15,0.02
Current,HR,1000,1,0.27,0.02
Current,AA,3000,1,0.0735,0.03
Current,HR,3000,11,0.3,0.028
Late,C,7500,6,0.155,0.02
Current,AA,2000,2,0.0795,0.02
Current,HR,1000,4,0.29,0.03
Current,A,6001,11,0.07,0.027
Current,AA,3000,4,0.08,0.03
Current,HR,2550,1,0.2525,0.03
Current,HR,1000,8,0.2375,0.011
Current,HR,3000,7,0.1175,0.03
Current,E,3000,5,0.29,0.03
Late,HR,3500,9,0.3475,0.039
Current,HR,2550,1,0.274,0.03
Current,NC,1100,4,0.248,0.02
Current,HR,2000,2,0.26,0.03
Current,D,1600,8,0.21,0.013
Current,D,3000,6,0.21,0.03
Current,HR,1000,1,0.15,0.01
Current,C,2000,5,0.153,0.03
Current,HR,2000,1,0.29,0.03
Current,HR,2500,7,0.2375,0.02
Current,HR,2000,3,0.2,0.02
Current,HR,1500,1,0.18,0.01
Default,HR,1250,9,0.1175,0.003
Current,HR,2000,1,0.22,0.03
Current,E,5000,1,0.2,0.03
Current,AA,2000,1,0.0775,0.04
Current,D,1675,8,0.145,0.01
Default,HR,1200,8,0.2475,0.01
Current,HR,2500,1,0.29,0.02
Current,HR,1700,3,0.2615,0.03
Current,NC,1000,7,0.2,0.02
Current,HR,1500,10,0.1775,0.019
Current,HR,2550,1,0.285,0.03
Current,HR,2550,5,0.2,0.03
Current,HR,1000,7,0.237,0.01
Late,HR,5000,4,0.3,0.03
Current,HR,3000,4,0.29,0.02
Late,HR,2025,4,0.29,0.02
Late,HR,1000,10,0.1775,0.019
Current,HR,1000,8,0.2075,0.026
Current,A,3000,1,0.09,0.02
Current,HR,1000,2,0.15,0.02
Current,A,2500,2,0.0845,0.03
Late,HR,1000,6,0.2375,0.01
Current,AA,2000,5,0.0875,0.04
Current,D,1100,5,0.162,0.01
Current,C,4500,3,0.11,0.04
Current,C,4900,2,0.16,0.04
Current,C,3000,4,0.134,0.04
Current,C,3000,6,0.1775,0.04
Current,C,8000,5,0.229,0.04
Current,C,7000,5,0.17,0.04
Current,C,2000,7,0.15,0.04
Current,C,1000,6,0.1049,0.04
Current,C,4000,8,0.1375,0.04
Current,C,2500,6,0.133,0.04
Current,D,2550,6,0.22,0.04
Current,D,3500,3,0.18,0.04
Current,D,1500,7,0.2,0.04
Current,D,3000,5,0.175,0.04
Current,D,3200,4,0.167,0.04
Current,D,3100,9,0.19,0.04
Current,D,4800,3,0.1775,0.04
Current,D,2000,2,0.17,0.04
Current,D,3600,5,0.185,0.04
Current,D,1500,5,0.15,0.04
Current,D,1800,2,0.15,0.04
Current,D,1500,3,0.144,0.04
Current,D,2000,3,0.15,0.04
Current,D,1100,4,0.11,0.04
Current,D,3500,1,0.196,0.04
Current,D,2550,1,0.22,0.04
Current,D,2500,1,0.2,0.04
Current,D,2550,1,0.22,0.04
Current,E,1000,4,0.23,0.04
Current,E,1000,1,0.185,0.04
Current,E,4000,9,0.245,0.04
Current,E,5000,10,0.1575,0.04
Current,E,1500,1,0.2,0.04
Current,E,2500,1,0.15,0.04
Current,E,4000,2,0.27,0.04
Current,E,3000,3,0.29,0.04
Current,E,2550,1,0.2835,0.04
Current,E,2000,3,0.29,0.04
Current,E,1600,3,0.25,0.04
Current,E,2800,6,0.28,0.04
Current,E,1000,5,0.15,0.04
Current,E,2800,3,0.26,0.04
Current,E,2550,4,0.29,0.04
Current,E,1575,4,0.2375,0.04
Current,E,6000,2,0.277,0.04
Current,E,3000,5,0.29,0.04
Current,E,2550,5,0.29,0.04
Current,E,2999,7,0.2875,0.04
Current,E,2000,7,0.2075,0.04
Current,E,5000,8,0.2375,0.04
Current,E,2500,7,0.2375,0.04
Current,E,2550,11,0.12,0.04
Current,HR,1000,8,0.2375,0.04
Current,HR,2000,1,0.29,0.04
Current,HR,1200,2,0.25,0.04
Current,HR,3300,2,0.29,0.04
Current,HR,5000,8,0.15,0.04
Current,HR,1000,5,0.29,0.04
Current,HR,1500,3,0.25,0.04
Current,HR,2550,6,0.28,0.04
Current,HR,2000,7,0.2875,0.04
Current,HR,2500,3,0.29,0.04
Current,HR,3500,6,0.1989,0.04
Current,HR,3000,3,0.25,0.04
Current,HR,2500,3,0.24,0.04
Current,HR,2000,3,0.29,0.04
Current,HR,1550,1,0.29,0.04
Current,HR,2550,0,0.2,0.04
Current,HR,2000,1,0.25,0.04
Current,HR,3001,5,0.2875,0.04
Current,HR,1150,6,0.28,0.04
Current,HR,3000,6,0.2875,0.04
Current,HR,1000,4,0.29,0.04
Current,HR,4000,2,0.29,0.04
Current,HR,2500,5,0.29,0.04
Current,HR,2550,3,0.29,0.04
Current,HR,2000,4,0.29,0.04
Current,HR,2500,3,0.29,0.04
Current,HR,1000,4,0.17,0.04
Current,HR,1000,1,0.2598,0.04
Current,HR,1000,1,0.17,0.04
Current,HR,3000,3,0.1999,0.04
Current,HR,2900,1,0.24,0.04
Current,HR,1782,1,0.24,0.04
Current,HR,4500,2,0.15,0.04
Current,HR,1500,2,0.15,0.04
Current,HR,3500,3,0.2,0.04
Current,HR,3000,3,0.29,0.04
Current,HR,2500,1,0.29,0.04
Current,HR,2750,4,0.29,0.04
Current,HR,2550,1,0.29,0.04
Current,HR,3000,2,0.2899,0.04
Current,HR,2250,4,0.2825,0.04
Current,HR,2000,1,0.29,0.04
Current,HR,2501,2,0.25,0.04
Current,HR,3001,5,0.29,0.04
Current,HR,1000,6,0.22,0.04
Current,HR,2550,1,0.29,0.04
Current,HR,1500,1,0.2349,0.04
Current,HR,1000,1,0.07,0.04
Current,HR,1000,2,0.22,0.04
Current,HR,2550,1,0.289,0.04
Current,HR,2550,1,0.21,0.04
Current,HR,6001,1,0.23,0.04
Current,HR,1500,2,0.24,0.04
Current,HR,2850,2,0.29,0.04
Current,HR,3000,1,0.28,0.04
Current,HR,4000,2,0.29,0.04
Current,HR,2800,1,0.17,0.04
Current,HR,1500,1,0.29,0.04
Current,HR,1000,1,0.1995,0.04
Current,HR,1905,1,0.29,0.04
Current,HR,1000,1,0.2,0.04
Current,HR,2550,4,0.3,0.04
Current,NC,2550,1,0.29,0.04
Current,NC,1500,1,0.26,0.04
Current,NC,3000,1,0.3,0.04
Current,NC,1500,2,0.1585,0.04
Current,NC,2500,3,0.28,0.04
Current,NC,3000,4,0.1784,0.04
Current,NC,2550,1,0.22,0.04
Current,NC,2750,7,0.2025,0.04
Current,NC,3500,2,0.29,0.04
Current,NC,2000,1,0.22,0.04
Late,HR,1200,3,0.29,0.04
Late,HR,2600,3,0.0021,0.04
Late,HR,1000,3,0.29,0.04
Late,HR,2000,5,0.17,0.04
Late,HR,1000,4,0.17,0.04
Late,NC,2052,4,0.28,0.04
Late,B,7500,6,0.18,0.04
Late,HR,2500,7,0.2875,0.04
Late,HR,1000,5,0.29,0.04
Late,HR,3000,7,0.25,0.04
Late,NC,1000,6,0.24,0.04
Late,E,3000,5,0.289,0.04
Late,E,3000,2,0.29,0.04
Late,HR,1000,2,0.235,0.04
Late,HR,1600,8,0.205,0.04
Late,HR,2100,3,0.29,0.04
Late,HR,5000,3,0.15,0.04
Late,HR,2550,6,0.2875,0.04
Current,AA,5100,9,0.081,0.041
Current,D,3000,10,0.1525,0.041
Current,E,3000,8,0.2375,0.041
Current,HR,1100,8,0.2375,0.041
Default,E,2800,11,0.1575,0.041
Default,HR,2551,10,0.29,0.041
Current,A,18600,9,0.15,0.042
Current,HR,1000,9,0.357,0.042
Current,C,3001,9,0.16,0.043
Current,A,5000,11,0.08,0.044
Current,AA,3000,10,0.072,0.044
Current,NC,2550,10,0.23,0.044
Current,AA,3000,10,0.0725,0.045
Current,AA,4500,12,0.08,0.045
Current,AA,5000,10,0.0725,0.045
Current,C,5500,8,0.14,0.045
Current,E,2500,10,0.2025,0.045
Current,AA,3500,13,0.07,0.046
Current,AA,4800,8,0.09,0.046
Current,HR,1000,10,0.19,0.046
Late,E,3500,9,0.2375,0.046
Current,C,3000,9,0.1345,0.047
Current,C,1200,10,0.11,0.047
Current,E,1000,9,0.2375,0.047
Current,A,4000,8,0.0985,0.048
Current,B,3500,9,0.14,0.048
Current,C,6000,9,0.18,0.048
Current,AA,5000,10,0.0795,0.049
Current,C,2500,8,0.15,0.049
Current,A,3000,1,0.081,0.05
Current,A,10000,10,0.105,0.05
Current,A,20000,9,0.15,0.05
Current,A,4500,5,0.0925,0.05
Current,A,5000,8,0.115,0.05
Current,A,6875,2,0.1105,0.05
Current,A,2500,5,0.0945,0.05
Current,A,3000,2,0.086,0.05
Current,A,1500,1,0.08,0.05
Current,A,1000,1,0.085,0.05
Current,AA,3000,5,0.08,0.05
Current,AA,1000,1,0.07,0.05
Current,AA,1000,2,0.07,0.05
Current,AA,3000,3,0.0889,0.05
Current,AA,2500,2,0.0799,0.05
Current,AA,6001,2,0.081,0.05
Current,AA,10000,1,0.0825,0.05
Current,AA,10000,3,0.08,0.05
Current,AA,5000,6,0.0875,0.05
Current,AA,2500,2,0.079,0.05
Current,AA,1000,4,0.0795,0.05
Current,AA,1500,7,0.08,0.05
Current,AA,10102,4,0.0963,0.05
Current,AA,2000,7,0.08,0.05
Current,AA,2500,5,0.085,0.05
Current,AA,5000,10,0.0725,0.05
Current,B,9000,7,0.105,0.05
Current,B,3500,3,0.109,0.05
Current,B,2000,5,0.1098,0.05
Current,B,5000,6,0.15,0.05
Current,B,3000,4,0.103,0.05
Current,C,5000,2,0.18,0.05
Current,C,7500,1,0.15,0.05
Current,C,5000,4,0.125,0.05
Current,C,2700,8,0.1775,0.05
Current,C,5000,5,0.17,0.05
Current,C,6000,7,0.1575,0.05
Current,C,1000,6,0.157,0.05
Current,C,5000,7,0.1575,0.05
Current,C,7000,2,0.159,0.05
Current,C,2500,6,0.0925,0.05
Current,C,3600,7,0.1385,0.05
Current,C,6001,4,0.162,0.05
Current,C,4500,5,0.12,0.05
Current,C,4000,5,0.1325,0.05
Current,C,6500,3,0.199,0.05
Current,C,5000,3,0.1695,0.05
Current,D,3000,7,0.2095,0.05
Current,D,1500,7,0.18,0.05
Current,D,5000,5,0.22,0.05
Current,D,5000,4,0.246,0.05
Current,D,3500,3,0.23,0.05
Current,D,4750,8,0.1975,0.05
Current,D,1000,6,0.1575,0.05
Current,D,3000,5,0.192,0.05
Current,D,2000,3,0.18,0.05
Current,D,2500,1,0.15,0.05
Current,D,5200,5,0.206,0.05
Current,D,1000,6,0.1625,0.05
Current,D,1000,1,0.2,0.05
Current,D,1800,2,0.2,0.05
Current,D,2750,5,0.145,0.05
Current,D,1500,1,0.1395,0.05
Current,D,2550,4,0.195,0.05
Current,D,1000,5,0.2,0.05
Current,E,1500,4,0.1975,0.05
Current,E,1000,1,0.17,0.05
Current,E,4600,1,0.227,0.05
Current,E,3500,1,0.25,0.05
Current,E,4600,3,0.235,0.05
Current,E,3000,2,0.25,0.05
