Company Name,Industry Name,SIC,Exchange,Country,Stock Price,% Chg in last year,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
Abatix Corp,Machinery,3500,NDQ,US,11.17,-0.02,20340,1.7,19.7,5.5,25.2,24.9,0.3,52.9,64.8,98.5,11.59,NA,NA,NA,2.19,0.37,22.41,15.46,1.75,1.74,0.47,0.38,-0.06,NA,NA,0.08,1.25,0.8,0.59,1.38,2.58,0.18,0,4.44,0.02,0.04,0,0.02,14.2,19.3,12.8,2.88,0.2,1.11,0.58,1.61,-2,0.48,0.24,0.01,0,0.02,0.2,0.5,13.7,64.8,1.7,0,0,0.05,0.28,0.22,0.38,0,NA,0.08
Abaxis Inc.,Medical Supplies,8060,NDQ,US,16.48,-0.01,66170,19.9,335.2,0,335.2,312.6,22.6,52.8,57.6,68.41,62.07,NA,NA,2.28,5.43,6.35,34.74,28.69,7.99,5.43,5.92,5.43,NA,0.3,NA,0.1,1.38,1.25,0.43,0.54,2.18,0.51,0,0.37,0.08,0.15,0.09,0.17,39.1,71,16.3,1.48,4.9,9,5.93,10.9,3.74,0.34,0.31,0.07,0.39,0.32,2.6,1.9,20.9,57.6,5.4,0,0.01,0.12,0,0,0,0,NA,0.5
Abazias Inc,Toiletries/Cosmetics,2844,NDQ,Foreign,0.08,-0.12,21950,75.5,7.5,0.1,7.6,7.5,0.1,2.1,2.3,NA,NA,NA,NA,NA,NA,3.57,NA,NA,NA,NA,3.57,3.26,NA,NA,NA,0.09,0,1.2,0.46,0,-0.01,NA,NA,0.01,NA,10.25,-0.48,-0.49,-0.1,0.2,-0.1,-0.01,-1,-1.03,-1.03,-1.03,-1.02,0,-0.05,0.01,0.04,0.5,0,0,1.2,2.3,0,0,0,0,0.01,0.01,NA,0,NA,0
ABB Ltd,Diversified Co.,9913,NYS,Foreign,9.72,-0.01,1187100,2028.4,19990,5534,25524,21324,4200,20721,22252,44.62,24.99,NA,NA,NA,7.08,0.96,12.08,8.89,5.13,3.05,1.03,0.96,NA,NA,NA,0.12,2.28,1.55,NA,1.04,-184.94,0.44,0,-0.16,0.16,0.27,0.02,0.09,4158,24677,-1285,-94.94,448,1765.43,1127.74,2398.43,1312.68,0.36,-0.06,0.16,0.19,0.17,543,633,3786,22252,800,0,0.13,0.12,0.28,0.22,0.66,0,NA,0
Abbott Labs.,Medical Supplies,8060,NYS,US,39.5,-0.01,2879500,1575.1,62592,6780.6,69372.6,67313.6,2059,19680,21944.8,17.77,17.77,2.69,14.68,2.09,4.37,3.18,12.14,9.85,3.53,3.29,3.42,3.07,0.08,0.09,0.07,0,0.48,0.85,0.14,0.18,445.1,0.53,0.49,0.1,0.25,0.23,0.18,0.28,19047.4,28767.5,3842.5,442.2,3522.8,5545.82,4356.47,6834.52,3911.37,0.21,0.2,0.03,0.09,0.07,1291.6,1288.7,6614.5,21944.8,3522.8,1732.61,0.2,0.21,0.11,0.1,0.32,0.03,NA,0.62
Aber Diamond Corporation,Metals & Mining (Div.),1000,TSE,Foreign,42.85,0,33994,55.1,2345.5,223.1,2568.6,2545,23.6,95.6,443.3,84.68,NA,NA,NA,NA,7.52,24.53,44.18,31.93,4.98,4.8,26.62,5.74,NA,NA,NA,0,-0.05,0.8,0.18,0.31,395.39,-0.03,0,9.42,0.09,0.08,0.29,0.6,511.2,632.8,109.4,397.89,27.7,57.6,41.96,79.7,-353.43,0.27,1.14,0.01,0.05,0.04,19.6,22.1,13.7,443.3,0,0,0,0.42,0.1,0.09,0.42,0,NA,0.42
Abercrombie & Fitch,Retail (Special Lines),5600,NYS,US,65.18,0,852100,86,5741.7,0,5741.7,5391.3,350.4,2021.3,2510.6,24.19,24.19,3.62,18.01,1.31,8.58,2.84,11.09,9.11,16.91,8.58,2.67,2.15,0.18,0.19,0.17,0.3,0.85,1.15,0.25,0.51,52.19,0.33,0.25,0.17,0.35,0.94,0.12,0.24,318.9,1347.7,-112,-27.11,237.4,486.32,299.27,592.12,247.08,0.38,-0.06,0.06,0.14,0.26,185.1,105.8,529.3,2510.6,237.4,60.2,0,0.51,0,0,0,0.01,0.01,0.92
Aberdeen Asia-Pac. Fd.,Investment Co.,6730,AMS,Foreign,5.79,-0.01,332200,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.12,0.5,0.09,0.18,0,0.14,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.07,NA,0.06
Aberdeen Australia Fd.,Investment Co.(Foreign),6730,AMS,US,13.05,-0.01,8400,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.8,0.75,0.16,0.19,0,0.82,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0.09,NA,0.01
Abgenix Inc.,Drug,2834,NDQ,US,21.49,0,2062344,89.1,1938,463.6,2401.6,1985.3,416.3,23.1,23.3,NA,NA,-1.92,NA,NA,8.39,83.9,NA,NA,5.25,3.23,85.94,85.21,NA,NA,0.24,-0.15,1.79,1.95,0.54,0.59,-28.54,0.61,NA,0.23,-0.61,-0.33,-7.37,-5.44,378.3,812.7,-15.7,-0.14,-170.2,-125.74,-125.74,-88.74,-97.21,0,-0.68,0.17,17.87,0.51,8.6,37,27.3,23.3,-170.2,0,0.04,0.27,0.24,0.19,0.62,0,0.05,0.85
Abigail Adams Natl Bncrp,Bank,6000,NDQ,US,14,-0.01,1389,3.3,48.5,7.1,55.6,50.5,5.1,NA,NA,13.47,13.11,NA,NA,1.68,1.96,NA,NA,NA,1.88,1.74,NA,NA,NA,0.08,NA,0,0.28,0.5,0.22,0.24,0,0.23,0.46,NA,0.15,NA,NA,NA,26.8,251.2,0,0,3.6,NA,NA,NA,NA,0.4,NA,0.09,NA,0.02,0,0,1.7,0,3.7,1.65,0,0,0.15,0.13,0.22,0.04,NA,0.14
Abington Community Bncp,Thrift,6120,NDQ,Foreign,12.97,-0.01,9421,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.14,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0.05
